id,collection,dc.title[en_US],dc.content.language[en_US],dc.content.languagecode[en_US],dc.subject.language[en_US],dc.subject.languagecode[en_US],dc.language.iso[en_US],dc.description.region[en_US],dc.coverage.iso3166,dc.coverage.spatial[en_US],dc.description[en_US],dc.contributor.depositor[en_US],dc.contributor.speaker[en_US],dc.contributor.researcher[en_US],dc.contributor.consultant[en_US],dc.contributor.recorder[en_US],dc.date.begin[en_US],dc.date.finish[en_US],dc.date.issued[en_US],dc.type.linguistictype[en_US],dc.format[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.type.dcmi[en_US]
+,123456789/3,JV1-111,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"wordlist 32; wordlist (headset, condensed for phonetic analysis) targeting uvularized vs plain tokens, coronal affricates, mid central vowels.","Van Way, John",,"Van Way, John||Grama, James","Bzangpo, Bkrashis",,2013-03-20,2013-03-20,2013-03-20,lexicon,48 kHz/24 bit,0:04:23,http://hdl.handle.net/10125/27597,sound
+,123456789/3,JV1-112,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"wordlist 33; wordlist (mostly targeting [u]/[y] contrast), plus making future documentation plans. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-21,2013-03-21,2013-03-21,lexicon,48 kHz/24 bit,0:30:33,http://hdl.handle.net/10125/27598,sound
+,123456789/3,JV1-113,"Horpa||English||Chinese, Mandarin",ero||eng||cmn,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,sentence list 20; sentences mostly targeting relativization and ditransitives.,"Van Way, John",,"Van Way, John||Kuo, Jonathan||Chen, Victoria","Bzangpo, Bkrashis",,2013-03-21,2013-03-21,2013-03-21,lexicon,48 kHz/24 bit,1:04:58,http://hdl.handle.net/10125/27599,sound
+,123456789/3,JV1-114,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,ultrasound 2; video file recorded on external Zoom Q3HD of computer screen during ultrasound (targeting words with plain vs. uvular contrasts). ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,video file recorded on external Zoom Q3HD,0:19:17,http://hdl.handle.net/10125/27600,image
+,123456789/3,JV1-115,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; big' 1.5x, 'good' 3x. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27601,image
+,123456789/3,JV1-116,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,ultrasound 2; MISTAKE.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27602,image
+,123456789/3,JV1-117,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; separate' 3x, 'laugh' 1x.","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27603,image
+,123456789/3,JV1-118,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,ultrasound 2; release' 3x. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27604,image
+,123456789/3,JV1-119,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; fall' 4x, 'release' 4x.","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27605,image
+,123456789/3,JV1-120,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; get married (female)' 3x, 'breast' 2x. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27606,image
+,123456789/3,JV1-121,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; you' 3x, 'get married (female)' 3x. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27607,image
+,123456789/3,JV1-122,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; you' 3x, 'get married (female)' 2x, 'breast' 2x. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27608,image
+,123456789/3,JV1-123,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,"ultrasound 2; horn' 2x, 'dog' 2x. ","Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-03-22,2013-03-22,2013-03-22,lexicon,digital video file,,http://hdl.handle.net/10125/27609,image
