id,collection,dc.title[en_US],dc.content.language[en_US],dc.content.languagecode[en_US],dc.subject.language[en_US],dc.subject.languagecode[en_US],dc.language.iso[en_US],dc.description.region[en_US],dc.coverage.iso3166,dc.coverage.spatial[en_US],dc.description[en_US],dc.contributor.depositor[en_US],dc.contributor.speaker[en_US],dc.contributor.researcher[en_US],dc.contributor.consultant[en_US],dc.contributor.recorder[en_US],dc.date.begin[en_US],dc.date.finish[en_US],dc.date.issued[en_US],dc.type.linguistictype[en_US],dc.format[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.type.dcmi[en_US]
+,123456789/3,JV1-160,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'flying insect'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:14,http://hdl.handle.net/10125/27646,image
+,123456789/3,JV1-161,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'garlic' and 'cut'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:13,http://hdl.handle.net/10125/27647,image
+,123456789/3,JV1-162,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'hand' and 'milk' and 'melted butter'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:17,http://hdl.handle.net/10125/27648,image
+,123456789/3,JV1-163,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'heart'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:08,http://hdl.handle.net/10125/27649,image
+,123456789/3,JV1-164,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'horse'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:06,http://hdl.handle.net/10125/27650,image
+,123456789/3,JV1-165,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'horse' and 'root vegetable'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:12,http://hdl.handle.net/10125/27651,image
+,123456789/3,JV1-166,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'if' and 'agreement'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-11,2012-06-11,2012-06-11,lexicon,digital video file (recorded on iPhone),0:00:12,http://hdl.handle.net/10125/27652,image
+,123456789/3,JV1-167,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'milk' and 'month'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:07,http://hdl.handle.net/10125/27653,image
+,123456789/3,JV1-168,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'mom' and 'daughter'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:08,http://hdl.handle.net/10125/27654,image
+,123456789/3,JV1-169,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'pull' and 'rub'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-11,2012-06-11,2012-06-11,lexicon,digital video file (recorded on iPhone),0:00:15,http://hdl.handle.net/10125/27655,image
+,123456789/3,JV1-170,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'rub' and 'knife'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:09,http://hdl.handle.net/10125/27656,image
+,123456789/3,JV1-171,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'sand'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:06,http://hdl.handle.net/10125/27657,image
+,123456789/3,JV1-172,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'say'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:05,http://hdl.handle.net/10125/27658,image
+,123456789/3,JV1-173,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'say'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:04,http://hdl.handle.net/10125/27659,image
+,123456789/3,JV1-174,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'seed' and 'lethargic'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:12,http://hdl.handle.net/10125/27660,image
+,123456789/3,JV1-175,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'snake'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:05,http://hdl.handle.net/10125/27661,image
+,123456789/3,JV1-176,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'squeeze'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:12,http://hdl.handle.net/10125/27662,image
+,123456789/3,JV1-177,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'stab'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:03,http://hdl.handle.net/10125/27663,image
+,123456789/3,JV1-178,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'stand' and 'horse'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:19,http://hdl.handle.net/10125/27664,image
+,123456789/3,JV1-179,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'suck'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:03,http://hdl.handle.net/10125/27665,image
+,123456789/3,JV1-180,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'tie a knot'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:08,http://hdl.handle.net/10125/27666,image
+,123456789/3,JV1-181,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'tongue'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:06,http://hdl.handle.net/10125/27667,image
+,123456789/3,JV1-182,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'two dogs' and 'seven dogs'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:17,http://hdl.handle.net/10125/27668,image
+,123456789/3,JV1-183,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'two' and 'seven'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:11,http://hdl.handle.net/10125/27669,image
+,123456789/3,JV1-184,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'wet'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:06,http://hdl.handle.net/10125/27670,image
+,123456789/3,JV1-185,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'wheat' and 'trough'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:07,http://hdl.handle.net/10125/27671,image
+,123456789/3,JV1-186,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'wife'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:07,http://hdl.handle.net/10125/27672,image
+,123456789/3,JV1-187,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'wind' and 'tree'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:22,http://hdl.handle.net/10125/27673,image
+,123456789/3,JV1-188,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'wood' and 'melted butter'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:13,http://hdl.handle.net/10125/27674,image
+,123456789/3,JV1-189,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'yak'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:10,http://hdl.handle.net/10125/27675,image
+,123456789/3,JV1-190,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,notes 1; notes from elicitation sessions in summer 2012 - page numbers and dates are provided on the notes themselves. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-24,2012-06-06,2012-06-06,lexicon,document,,http://hdl.handle.net/10125/27676,text
+,123456789/3,JV1-191,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,notes 1; notes from elicitation sessions in summer 2012 (cont'd) - page numbers and dates are provided on the notes themselves.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-06,2012-06-21,2012-06-21,lexicon,document,,http://hdl.handle.net/10125/27677,text
+,123456789/3,JV1-192,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China; recording made in USA.",CN,east=30.939924; north=100.315246,notes 2; notes from elicitation sessions in spring 2013 - page numbers and dates are provided on the notes themselves.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-01-18,2013-03-30,2013-03-30,lexicon,document,,http://hdl.handle.net/10125/27678,text
+,123456789/3,JV1-193,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,grant app 1; UHM College of Arts and Sciences Research Award application. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-01-01,2012-01-01,2013-05-15,language_description,document,,http://hdl.handle.net/10125/27679,text
+,123456789/3,JV1-194,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,grant app 2; Bilinski Research Award application for summer 2012.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-01-01,2012-01-01,2013-05-15,language_description,document,,http://hdl.handle.net/10125/27680,text
+,123456789/3,JV1-195,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,grant app 2; Bilinski Research Award report for summer 2012.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-01-01,2012-01-01,2013-05-15,language_description,document,,http://hdl.handle.net/10125/27681,text
+,123456789/3,JV1-196,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,grant app 3; Firebird Foundation application for spring 2013. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-01-01,2013-01-01,2013-05-15,language_description,document,,http://hdl.handle.net/10125/27682,text
+,123456789/3,JV1-197,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,grant app 4; Endangered Languages Documentation Programme application for 2013-2016.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2013-01-01,2013-01-01,2013-05-15,language_description,document,,http://hdl.handle.net/10125/27683,text
+,123456789/3,JV1-198,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,FLEx lexical database XML export on 2013-04-30.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-24,2013-04-30,2013-04-30,lexicon,document,,http://hdl.handle.net/10125/27684,text
